STREET_NO,STREET_NAME,ZIP_CODE,NO_ROOMS,NO_BEDROOMS,NO_FULL_BATHS,NO_HALF_BATHS,SQUARE_FEET,SALE_PRICE,LIST_PRICE,ORIG_PRICE,MARKET_TIME_PROPERTY,GARAGE_SPACES_RN,ELEVATOR_RN,PARKING_SPACES_RN,Avg Rent
29,Concord Ave.,2138,3,1,1,0,500,2550,2550,2550,28,,Y,0,
603,Concord Ave,2138,2,1,1,0,560,3000,3000,3000,23,1,Y,1,
2,Earhart Street,2141,3,1,1,0,769,2800,2700,2700,6,0,Y,1,
2440,Massachusetts,2140,3,1,1,0,491,2200,2200,2200,17,1,Y,1,
115,Mt. Auburn,2138,2,1,1,0,423,2600,2600,2600,39,,Y,0,
6,Bristol St,2141,4,1,1,0,552,2300,2300,2300,17,,N,0,
1137,Massachusetts Avenue,2138,3,1,1,0,382,2100,2100,2100,38,,Y,0,
77,Martin St,2138,3,1,1,0,614,2700,2700,2750,16,,,0,
287,Harvard st,2139,3,1,1,0,550,2600,2500,2800,22,0,Y,1,
33,Rogers St.,2142,3,1,1,0,861,3597,3585,3585,13,1,Y,1,
33,Wendell St,2138,4,1,2,0,800,3000,3000,3000,11,,N,1,
109,Tremont St,2139,4,1,1,0,550,2100,2100,2100,12,,N,0,
6,Canal Park,2141,4,1,1,1,818,3000,3000,3000,10,1,,1,
28,Langdon Street,2138,2,1,1,0,600,2300,2300,2300,5,,N,0,
2440,Massachusetts Ave,2140,3,1,1,0,583,2500,2500,2500,15,1,Y,1,
270,3rd Street,2142,4,1,1,0,942,3749,3745,3745,15,1,Y,1,
10-Aug,Dover St.,2140,2,1,1,0,475,2400,2400,2400,20,,N,0,
1,Aberdeen Way,2138,2,1,1,0,684,2400,2400,2400,3,,Y,1,
10,Museum Way,2141,3,1,1,0,663,2800,2800,2750,15,,Y,1,
395,Broadway,2139,3,1,1,0,667,2400,2400,2400,7,,Y,1,
270,3rd Street,2142,4,1,1,0,942,3699,3665,3665,15,1,Y,1,
17,Healey St,2138,3,1,1,0,612,2200,2200,2200,7,,N,1,
33,Rogers St.,2142,3,1,1,0,700,3345,3325,3325,25,1,Y,1,
393,Broadway,2139,3,1,1,0,444,2050,2000,2000,22,0,Y,0,
71,Martin Street,2138,4,1,1,0,630,2250,2250,2250,10,,N,0,
19,Shepard Street,2138,3,1,1,0,637,2700,2700,2700,16,,N,0,
848,Massachusetts Ave,2138,3,1,1,0,700,2400,2400,2400,6,,,1,
850,Massachusetts Avenue,2139,4,1,1,0,696,2550,2550,2550,12,,,0,"$2,384"
538,Green Street,2139,2,1,1,0,640,2250,2250,2250,4,,N,0,
988,Memorial Drive,2138,3,1,1,0,535,3300,3300,3500,63,,Y,0,
10,Essex Street,2139,3,1,1,0,557,3000,3200,3200,41,0,Y,0,
36,Highland Ave,2139,4,1,1,0,750,2200,2200,2200,4,,,0,
2440,Massachusetts Ave.,2140,3,1,1,0,629,2400,2400,2400,11,1,Y,1,
2,Beech St,2140,2,1,1,0,500,2150,2150,2150,12,1,Y,1,
18,Foster Street,2138,4,1,1,0,800,2700,2700,2700,9,,N,0,
1558,Massachusetts Avenue,2138,5,1,1,0,1000,2300,2300,2300,1,,,0,
2,Earhart Street,2141,2,1,1,0,702,2500,2500,2500,5,0,Y,1,
33,Rogers St.,2142,3,1,1,0,700,3369,3365,3365,29,1,Y,1,
10,Museum Way,2141,4,1,1,0,811,3100,3100,3100,16,1,Y,1,
71,Martin Street,2138,4,1,1,0,646,2300,2300,2300,12,0,N,0,
1,Craigie Street,2138,3,1,1,0,600,1900,1900,1900,5,,,0,
50,Langdon,2138,4,1,1,0,900,3100,3100,3100,11,,,1,
287,Harvard,2139,3,1,1,0,650,2500,2500,2500,13,,Y,0,
126,Clifton,2140,2,1,1,0,400,2200,2300,2350,34,,,0,
